timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses,airleak_failure
2020-02-01 00:00:00,-0.0123,9.3274,9.3111,-0.0229,9.328,53.5214,0.0404,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:01:00,-0.013,9.26,9.2433,-0.0233,9.2597,53.4208,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:02:00,-0.0127,9.1983,9.182,-0.0223,9.199,53.325,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:03:00,-0.0123,9.1367,9.1207,-0.0227,9.1367,53.2,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:04:00,-0.013,9.0757,9.06,-0.023,9.0757,53.1292,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:05:00,-0.0137,9.015,9.001,-0.0227,9.0167,53.0833,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:06:00,-0.0133,8.9567,8.9413,-0.023,8.9577,52.8917,0.0392,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:07:00,-0.013,8.8983,8.8833,-0.0227,8.899,52.7375,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:08:00,-0.0137,8.8403,8.8257,-0.0227,8.8423,52.5917,0.0404,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:09:00,-0.0133,8.783,8.7683,-0.0227,8.7837,52.4083,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:10:00,-0.014,8.7267,8.713,-0.0237,8.7273,52.2,0.0392,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:11:00,-0.013,8.6707,8.6577,-0.0237,8.6723,52.0667,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:12:00,-0.014,8.616,8.6017,-0.0233,8.6167,51.8833,0.0392,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:13:00,-0.014,8.5613,8.547,-0.0227,8.5617,51.6875,0.0396,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
2020-02-01 00:14:00,-0.014,8.5087,8.4947,-0.023,8.5087,51.475,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
